ANO;ID_ESPACIA;DEPTO;MUNICIPIO;Y_PROP;Y_PROP2;CUL_ILI;GRUPO_ARMA;ACCION_ARMADA;MINAS;INFRACCIONES_H;ACTO_TERRO
2004;8675;ATLANTICO;SANTA LUCIA;0,0004806922;0,0504806922;0;0;0;0;0;0
2013;15368;BOYACA;JERICO;0,0004805382;0,0504805382;0;0;0;0;0;0
2010;25386;CUNDINAMARCA;LA MESA;0,0004804557;0,0504804557;0;0;0;0;0;0
2009;13760;BOLIVAR;SOPLAVIENTO;0,0004800768;0,0504800768;0;0;0;0;0;0
2014;70742;SUCRE;SAN LUIS DE SINCE;0,0004796019;0,0504796019;0;0;0;0;0;0
2004;66001;RISARALDA;PEREIRA;0,0004790153;0,0504790153;0;1;1;0;387;7
2012;54347;NORTE DE SANTANDER;HERRAN;0,0004789272;0,0504789272;0;0;0;0;0;0
2011;13760;BOLIVAR;SOPLAVIENTO;0,0004782401;0,0504782401;0;0;0;0;0;0
2004;63190;QUINDIO;CIRCASIA;0,0004779763;0,0504779763;0;1;0;0;3;0
2002;23586;CORDOBA;PURISIMA;0,0004779462;0,0504779462;0;1;0;0;3;0
2015;25867;CUNDINAMARCA;VIANI;0,0004772131;0,0504772131;0;0;0;0;0;0
2011;8433;ATLANTICO;MALAMBO;0,0004767454;0,0504767454;0;1;0;0;11;0
2007;25612;CUNDINAMARCA;RICAURTE;0,0004765309;0,0504765309;0;1;0;0;4;0
2002;8675;ATLANTICO;SANTA LUCIA;0,0004761905;0,0504761905;0;1;0;0;3;0
2002;8520;ATLANTICO;PALMAR DE VARELA;0,0004760668;0,0504760668;0;1;0;0;3;0
2011;25754;CUNDINAMARCA;SOACHA;0,0004754379;0,0504754379;0;1;0;0;23;1
2013;25745;CUNDINAMARCA;SIMIJACA;0,0004748714;0,0504748714;0;0;0;0;0;0
2012;52022;NARIÑO;ALDANA;0,0004746835;0,0504746835;0;0;0;0;0;0
2004;25183;CUNDINAMARCA;CHOCONTA;0,0004740834;0,0504740834;0;0;0;0;0;0
2014;66075;RISARALDA;BALBOA;0,0004740834;0,0504740834;0;0;0;0;0;0
2011;54347;NORTE DE SANTANDER;HERRAN;0,0004739336;0,0504739336;0;0;0;0;0;0
2007;5368;ANTIOQUIA;JERICO;0,0004734848;0,0504734848;0;1;1;0;3;0
2003;73275;TOLIMA;FLANDES;0,0004729164;0,0504729164;0;1;0;0;5;0
2003;8520;ATLANTICO;PALMAR DE VARELA;0,0004722246;0,0504722246;0;0;0;0;0;0
2014;52354;NARIÑO;IMUES;0,0004719207;0,0504719207;0;0;0;0;0;0
2010;25245;CUNDINAMARCA;EL COLEGIO;0,0004717871;0,0504717871;0;1;1;0;0;0
2007;25269;CUNDINAMARCA;FACATATIVA;0,0004711697;0,0504711697;0;1;0;0;2;0
2016;47268;MAGDALENA;EL RETEN;0,0004710759;0,0504710759;0;0;0;0;0;0
2011;25769;CUNDINAMARCA;SUBACHOQUE;0,0004709365;0,0504709365;0;0;0;0;0;0
2012;52585;NARIÑO;PUPIALES;0,0004706621;0,0504706621;0;1;1;0;10;15
2014;23168;CORDOBA;CHIMA;0,0004702405;0,0504702405;0;0;0;0;0;0
2011;8421;ATLANTICO;LURUACO;0,0004700353;0,0504700353;0;0;0;0;0;0
2007;15599;BOYACA;RAMIRIQUI;0,0004697041;0,0504697041;0;0;0;0;0;0
2011;52022;NARIÑO;ALDANA;0,0004689698;0,0504689698;0;0;0;0;0;0
2004;25769;CUNDINAMARCA;SUBACHOQUE;0,0004686768;0,0504686768;0;0;0;0;0;0
2002;68679;SANTANDER;SAN GIL;0,0004686255;0,0504686255;0;1;0;0;20;0
